,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE,KL,MAE,TV
72,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,250,0.868,0.1336971483438409,,0.0385398470451684,0.18815776375889362
73,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,250,0.8481,0.13490632902941518,,0.03771465747453577,0.1835221657934663
74,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,250,0.8706,0.13441886426603447,,0.03767923797326561,0.1834955394624223
75,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,500,0.8704,0.13193726649896406,,0.0365905631413294,0.17833576210329224
76,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,500,0.8855,0.1257940942061763,,0.03312143522736671,0.1614957258012216
77,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,500,0.8827,0.12604390328114942,,0.03251314187555534,0.1584680419714521
78,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,500,0.8754,0.1280896620205714,,0.033141542438239656,0.16086817908946727
79,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,500,0.8687,0.1288034681187788,,0.03464718720637517,0.16833135745884248
80,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,1000,0.888,0.12098372557581646,,0.030917871547165094,0.15073921161605838
81,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,1000,0.8769,0.12731025581460592,,0.03516907043526034,0.1714214974669789
82,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,1000,0.8878,0.12389976422211361,,0.033011618210511254,0.16104227588769515
83,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,1000,0.8824,0.1245816460643262,,0.03258587868911718,0.15888212228626458
84,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,1000,0.876,0.12618701801308738,,0.034509407580255225,0.16858099937608825
85,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,5000,0.9012,0.11066101183413027,,0.02883577304917343,0.14055433947392845
86,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,5000,0.8964,0.11291607302199894,,0.02980458934037473,0.1451958494273636
87,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,5000,0.8989,0.11158444080594702,,0.029164029426946275,0.1419790378027491
88,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,5000,0.8968,0.10995861762211434,,0.02832876928218538,0.13804579331832886
89,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,5000,0.8996,0.11010503433596601,,0.02853096742266987,0.1390268155286946
90,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,10000,0.9092,0.10334021167837001,,0.026865979055020955,0.13080015983917628
91,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,10000,0.9132,0.09996532777238035,,0.025909753550526753,0.12588102794169453
92,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,10000,0.9073,0.10181726785350331,,0.02649917585851049,0.1288501955545194
93,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,10000,0.9108,0.10050370453154629,,0.025893911519800288,0.12605307710307287
94,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,10000,0.9127,0.10122325386622397,,0.02595494788460227,0.1262475209059427
95,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,100000,0.9336,0.07959772671319794,,0.020334431168997087,0.0983129841660548
96,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,100000,0.9316,0.07972442312761768,,0.02039169357302719,0.0986367988274928
97,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,100000,0.9325,0.07976010586720153,,0.020382524246783457,0.09841056764253817
98,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,100000,0.9314,0.0797310478565039,,0.020435595440665442,0.09880692840009092
99,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,100000,0.9326,0.07929000235843117,,0.020301057455835495,0.09791598428053132
