,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,runtime,config
116,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,5,0.29406585176230154,0.10166,0.5534186363220215,configs/FGMRES.json
117,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,5,0.29405946210446965,0.10176,0.5454928874969482,configs/FGMRES.json
118,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,5,0.29406957452344856,0.10168,0.5490596294403076,configs/FGMRES.json
119,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,5,0.2940615453001251,0.1017,0.5515820980072021,configs/FGMRES.json
120,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,5,0.2936352577208269,0.10446,0.5519149303436279,configs/FGMRES.json
121,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,5,0.29364302049378294,0.10452,0.55527663230896,configs/FGMRES.json
122,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,5,0.29363617147463417,0.10444,0.5552318096160889,configs/FGMRES.json
123,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,5,0.2936460017782371,0.10444,0.5503718852996826,configs/FGMRES.json
124,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,5,0.2936505044805241,0.10424,0.5503687858581543,configs/FGMRES.json
125,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,5,0.292911987428604,0.10894,0.5596663951873779,configs/FGMRES.json
126,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,5,0.2929309000652215,0.10876,0.5581300258636475,configs/FGMRES.json
127,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,5,0.2929190040147997,0.10856,0.553072452545166,configs/FGMRES.json
128,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,5,0.29292555897645667,0.10878,0.561042070388794,configs/FGMRES.json
129,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,5,0.2929192163888651,0.1088,0.5583453178405762,configs/FGMRES.json
130,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,5,0.29157615538375964,0.1172,0.5701701641082764,configs/FGMRES.json
131,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,5,0.2916003299475988,0.11706,0.5676572322845459,configs/FGMRES.json
132,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,5,0.2915507806505371,0.11742,0.5718653202056885,configs/FGMRES.json
133,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,5,0.29151186706331966,0.11768,0.5753133296966553,configs/FGMRES.json
134,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,5,0.29153959927215756,0.11714,0.5688140392303467,configs/FGMRES.json
135,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,5,0.280627763296463,0.18286,0.6588304042816162,configs/FGMRES.json
136,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,5,0.28053026166786105,0.18362,0.6526682376861572,configs/FGMRES.json
137,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,5,0.2804693299423746,0.18422,0.6571521759033203,configs/FGMRES.json
138,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,5,0.28050080574568975,0.18398,0.6566011905670166,configs/FGMRES.json
139,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,5,0.2805748922210084,0.18398,0.6556224822998047,configs/FGMRES.json
140,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,5,0.2672990835545909,0.2599,0.7687785625457764,configs/FGMRES.json
141,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,5,0.26730851438746456,0.25968,0.7588233947753906,configs/FGMRES.json
142,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,5,0.26753755108944,0.25916,0.762056827545166,configs/FGMRES.json
143,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,5,0.2676276520545816,0.25804,0.7758877277374268,configs/FGMRES.json
144,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,5,0.26743901322508107,0.2581,0.7677063941955566,configs/FGMRES.json
145,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,5,0.11545089265077127,0.86234,2.75093936920166,configs/FGMRES.json
146,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,5,0.11636225228082528,0.86082,2.747666120529175,configs/FGMRES.json
147,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,5,0.11571110928508022,0.86116,2.752047538757324,configs/FGMRES.json
148,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,5,0.11569776597899906,0.8618,2.751641273498535,configs/FGMRES.json
149,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,5,0.11577192322007798,0.86214,2.76180362701416,configs/FGMRES.json
150,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,7,0.2943234007137692,0.10016,0.5498991012573242,configs/FGMRES.json
151,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,7,0.29431943090748347,0.10014,0.5445671081542969,configs/FGMRES.json
152,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,7,0.2943253901211473,0.10016,0.5456516742706299,configs/FGMRES.json
153,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,7,0.2943201092454669,0.1002,0.5448143482208252,configs/FGMRES.json
154,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,7,0.2943202079049184,0.10018,0.5435593128204346,configs/FGMRES.json
155,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,7,0.2942777273450047,0.10042,0.5467836856842041,configs/FGMRES.json
156,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,7,0.2942747270699351,0.10042,0.5463004112243652,configs/FGMRES.json
157,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,7,0.29427595844620724,0.10048,0.5451834201812744,configs/FGMRES.json
158,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,7,0.2942807443283263,0.10042,0.5440189838409424,configs/FGMRES.json
159,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,7,0.2942778925938373,0.10048,0.5416464805603027,configs/FGMRES.json
160,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,7,0.2941974680844407,0.10092,0.5500462055206299,configs/FGMRES.json
161,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,7,0.29420646218709684,0.10086,0.5477824211120605,configs/FGMRES.json
162,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,7,0.29421283434713286,0.10082,0.5465152263641357,configs/FGMRES.json
163,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,7,0.2942127433250269,0.10086,0.5633490085601807,configs/FGMRES.json
164,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,7,0.2942091746099066,0.10088,0.5767138004302979,configs/FGMRES.json
165,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,7,0.2940917942368014,0.10174,0.5965194702148438,configs/FGMRES.json
166,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,7,0.2940773121427348,0.10172,0.5918974876403809,configs/FGMRES.json
167,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,7,0.29406060861062533,0.10178,0.5862278938293457,configs/FGMRES.json
168,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,7,0.29408190977769927,0.10164,0.5619878768920898,configs/FGMRES.json
169,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,7,0.29406630611512474,0.10176,0.570343017578125,configs/FGMRES.json
170,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,7,0.2936559350375888,0.10442,0.5642945766448975,configs/FGMRES.json
171,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,7,0.29364144764563915,0.10442,0.5834095478057861,configs/FGMRES.json
172,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,7,0.29365513754623307,0.10438,0.5869522094726562,configs/FGMRES.json
173,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,7,0.2936369288235795,0.10438,0.5843167304992676,configs/FGMRES.json
174,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,7,0.2936481371053362,0.10436,0.5856235027313232,configs/FGMRES.json
175,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,7,0.2929152811463925,0.10896,0.5886118412017822,configs/FGMRES.json
176,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,7,0.29294679778103533,0.10882,0.5936934947967529,configs/FGMRES.json
177,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,7,0.29297095182243577,0.10872,0.583989143371582,configs/FGMRES.json
