,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE,KL,MAE,TV,sparse
103,TwoMoons,prob_label,10000,NONE,2,10.0,100,0.9984,0.05175251312595136,0.02285882544803087,0.022066152740687774,0.022066152740687857,False
104,TwoMoons,prob_label,10000,NONE,2,10.0,100,0.9918,0.07518084328258862,0.024910371563978042,0.022633372228265627,0.02263337222826556,False
105,TwoMoons,prob_label,10000,NONE,2,10.0,100,0.9985,0.05422344155065585,0.025597835448820907,0.026367283714894364,0.02636728371489441,False
106,TwoMoons,prob_label,10000,NONE,2,10.0,100,0.9988,0.04744434119604565,0.020504629050531836,0.021212729160024216,0.02121272916002424,False
107,TwoMoons,prob_label,10000,NONE,2,10.0,100,0.9975,0.05962184777950896,0.025703337844489197,0.026638661767584455,0.026638661767584403,False
108,TwoMoons,prob_label,10000,NONE,2,10.0,100,0.9918,0.07638945722537414,0.02728396660807137,0.023741525909923056,0.02374152590992309,False
109,TwoMoons,prob_label,10000,NONE,2,10.0,100,0.9974,0.05846473893534071,0.022773271589165815,0.022237439497859827,0.022237439497859862,False
110,TwoMoons,prob_label,10000,NONE,2,10.0,1000,0.9972,0.059493620640715485,0.02306655566398066,0.023729430090885795,0.023729430090885892,False
111,TwoMoons,prob_label,10000,NONE,2,10.0,1000,0.9978,0.05567594871431903,0.023516548776353192,0.02404449961729129,0.024044499617291312,False
112,TwoMoons,prob_label,10000,NONE,2,10.0,1000,0.9967,0.06109038535746539,0.0230734232292379,0.023522618117448095,0.023522618117448067,False
113,TwoMoons,prob_label,10000,NONE,2,10.0,1000,0.9975,0.054043275694283105,0.022803369952167595,0.02299624204915949,0.02299624204915954,False
114,TwoMoons,prob_label,10000,NONE,2,10.0,1000,0.9974,0.05440380771871903,0.021574983458309816,0.021785654705961208,0.021785654705961287,False
115,TwoMoons,prob_label,10000,NONE,2,10.0,1000,0.9972,0.05813595414675713,0.0227546239521723,0.022619523792656117,0.022619523792656266,False
116,TwoMoons,prob_label,10000,NONE,2,10.0,1000,0.9968,0.06106297915716628,0.023494169144912765,0.02347669189625732,0.02347669189625739,False
117,TwoMoons,prob_label,10000,NONE,2,10.0,1000,0.9977,0.05265103426766468,0.021603638306679978,0.0231483099147047,0.023148309914704724,False
118,TwoMoons,prob_label,10000,NONE,2,10.0,1000,0.9972,0.056541394345160964,0.021992283120822045,0.022832566244811094,0.022832566244811187,False
119,TwoMoons,prob_label,10000,NONE,2,10.0,1000,0.9976,0.05283978825202758,0.02041805906663698,0.021693403362527126,0.02169340336252723,False
120,TwoMoons,prob_label,10000,NONE,2,100.0,10,0.9501,0.29844820876270184,0.28406819851796844,0.17885339562990693,0.17885339562990613,False
121,TwoMoons,prob_label,10000,NONE,2,100.0,10,0.8781,0.2778021718036978,0.2622872445848547,0.1497258468964356,0.14972584689643562,False
122,TwoMoons,prob_label,10000,NONE,2,100.0,10,0.9375,0.24729306818374633,0.18312665824530627,0.12644250052012607,0.12644250052012618,False
123,TwoMoons,prob_label,10000,NONE,2,100.0,10,0.9159,0.2454092008460524,0.20936452965491703,0.11897262368835336,0.1189726236883537,False
124,TwoMoons,prob_label,10000,NONE,2,100.0,10,0.8225,0.26173683314033847,0.24017563284196716,0.1321821664132331,0.13218216641323297,False
125,TwoMoons,prob_label,10000,NONE,2,100.0,10,0.9942,0.15663712409000446,0.09683904407186332,0.05215369427850604,0.052153694278505976,False
126,TwoMoons,prob_label,10000,NONE,2,100.0,10,0.9713,0.26435267815791064,0.21252564707779906,0.14562011281678572,0.1456201128167861,False
127,TwoMoons,prob_label,10000,NONE,2,100.0,10,0.9213,0.2533116826082357,0.19730616033866438,0.1300310311542098,0.13003103115421016,False
128,TwoMoons,prob_label,10000,NONE,2,100.0,10,0.9275,0.2536574368650386,0.19566151031891454,0.1338502563930067,0.13385025639300696,False
129,TwoMoons,prob_label,10000,NONE,2,100.0,10,0.9496,0.2385562682277865,0.19763441632545395,0.1123323402861048,0.11233234028610536,False
130,TwoMoons,prob_label,10000,NONE,2,100.0,100,0.9986,0.032153566275248784,0.02767009603601553,0.003520000575639427,0.0035200005756394503,False
131,TwoMoons,prob_label,10000,NONE,2,100.0,100,0.9991,0.02266004198984686,0.02476973183647573,0.002815961986305718,0.002815961986305753,False
132,TwoMoons,prob_label,10000,NONE,2,100.0,100,0.9995,0.013838200590083727,0.022118867786221585,0.0022261105444923426,0.00222611054449237,False
133,TwoMoons,prob_label,10000,NONE,2,100.0,100,0.9984,0.032114163279806165,0.02956358697491081,0.003417555724353095,0.003417555724353113,False
134,TwoMoons,prob_label,10000,NONE,2,100.0,100,0.9991,0.021648649123585727,0.024536076078948324,0.0027625826834626163,0.0027625826834626354,False
135,TwoMoons,prob_label,10000,NONE,2,100.0,100,0.9984,0.029321834577033686,0.028282039619203284,0.003095739596928356,0.003095739596928374,False
136,TwoMoons,prob_label,10000,NONE,2,100.0,100,0.9994,0.018785344259528297,0.020852770225747826,0.002526125645692488,0.002526125645692513,False
137,TwoMoons,prob_label,10000,NONE,2,100.0,100,0.9988,0.029594050160129257,0.025768248086638818,0.0032223870882746447,0.0032223870882746707,False
138,TwoMoons,prob_label,10000,NONE,2,100.0,100,0.9981,0.033970361197832505,0.027083911539480858,0.004283194870100255,0.004283194870100273,False
139,TwoMoons,prob_label,10000,NONE,2,100.0,100,0.9995,0.01985714935595798,0.02460413942615927,0.0025878264344666837,0.0025878264344667105,False
140,TwoMoons,prob_label,10000,NONE,2,100.0,1000,0.9998,0.01498310750636185,0.018399365180834827,0.003109809589505819,0.0031098095895058632,False
141,TwoMoons,prob_label,10000,NONE,2,100.0,1000,0.999,0.021443205494309635,0.022618752571385164,0.003110548533943565,0.0031105485339436066,False
142,TwoMoons,prob_label,10000,NONE,2,100.0,1000,0.9995,0.012795585023896336,0.018919588092454954,0.0021539951471536553,0.0021539951471537004,False
143,TwoMoons,prob_label,10000,NONE,2,100.0,1000,0.9985,0.028778877388933227,0.012562571071066517,0.00431841465364648,0.004318414653646531,False
144,TwoMoons,prob_label,10000,NONE,2,100.0,1000,0.9994,0.012683442533880224,0.018604506399607815,0.002095338684709432,0.002095338684709487,False
145,TwoMoons,prob_label,10000,NONE,2,100.0,1000,0.9991,0.021681698544829528,0.015514660801025574,0.004149957628388674,0.00414995762838874,False
146,TwoMoons,prob_label,10000,NONE,2,100.0,1000,0.9998,0.014639637487070083,0.018051652803173158,0.003157349767032605,0.003157349767032636,False
147,TwoMoons,prob_label,10000,NONE,2,100.0,1000,0.9997,0.017112870463320135,0.01824625424052553,0.0029672981598725164,0.002967298159872565,False
148,TwoMoons,prob_label,10000,NONE,2,100.0,1000,0.9993,0.020630535406997046,0.021710961291647766,0.0032494046660030773,0.003249404666003116,False
149,TwoMoons,prob_label,10000,NONE,2,100.0,1000,0.9994,0.016391933458887144,0.008006362205072412,0.0032841165521770373,0.0032841165521770754,False
150,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.31626,0.28176890877304406,4.4212800123497225,0.1671782581720693,0.8274618223507443,False
151,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.53708,0.27315778007229474,1.7573148585866276,0.16296235752247684,0.8067736717241916,False
152,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.19712,0.27821393133789646,1.8305602975252677,0.16400115683323815,0.8111826015805468,False
153,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.31062,0.277103114246592,1.8411258345162154,0.16366332874768483,0.8097652389560529,False
154,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.54824,0.2746109030835607,1.8897936039586178,0.16211778930207796,0.8024308926853689,False
155,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.3342,0.2764162464000142,1.8745575243821178,0.1632459571718733,0.8072734064692529,False
156,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.44324,0.27773592278208575,1.8403674242436485,0.164705101560646,0.815208883166986,False
157,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.2943,0.27602533186945155,1.815199603057587,0.1631922104137867,0.807534068596998,False
158,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.50416,0.27717055143817687,1.940081185565643,0.1630993260640246,0.8065124637798211,False
159,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.38438,0.2781132949998146,1.895355125390995,0.16445424751964566,0.8130405808355365,False
160,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.4913,0.27452930305166046,1.762840156986599,0.16380849377714263,0.8112324472538283,False
161,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.6194,0.27390433120452623,1.7586161878233182,0.16362347299629473,0.810510988269183,False
162,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.55642,0.2745041996698121,1.7603641700061878,0.16393016045667638,0.8119486516460684,False
163,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.63958,0.2743531040000942,1.7563043045104416,0.16394643093453312,0.8120410531781078,False
164,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.48556,0.2758151597492853,1.778283224993815,0.16449627145529144,0.8147311001297053,False
165,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.61644,0.27336892716009176,1.7531734975249222,0.16343538687201126,0.8094205067259388,False
166,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.61968,0.27551376756524226,1.7732604702957635,0.16448697810114318,0.8148599760184527,False
167,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.60734,0.27371473278763403,1.7496707818894583,0.16320499371677175,0.8084018186673665,False
168,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.5386,0.2744781947583986,1.75909888180188,0.16387485324869985,0.8116802332819024,False
169,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.65108,0.27397823940403926,1.7595234180747874,0.16363345543091706,0.8105017685886542,False
170,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.84138,0.27373699391183476,1.751160545202295,0.16364446410242078,0.8105688119545785,False
171,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.82438,0.27373979735115017,1.7503741126574994,0.16363443509745312,0.8105006375320332,False
172,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.74098,0.2736502240681483,1.7495987976009233,0.16357241229884797,0.8102004827107598,False
173,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.69072,0.2739714996863097,1.7510523397324618,0.1637514561472597,0.8110554771038839,False
174,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.79102,0.2738222919233158,1.7498527813419216,0.16366498125837214,0.810662737268152,False
175,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.73966,0.2736925132972231,1.7491744104863478,0.1635980938429847,0.8103595573103018,False
176,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.81038,0.2737737183921075,1.7504104972704833,0.1636406390630944,0.8104946012011577,False
177,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.827,0.27369511221631276,1.74966080389261,0.1636051191541676,0.8103968468366802,False
178,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.71594,0.2739508781725989,1.7494456625710975,0.16370656660674535,0.8108939629442824,False
179,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.73856,0.27357903562482566,1.748928181001693,0.16353868012843026,0.809966833129058,False
180,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.1,50,0.81034,0.1747706575438778,0.7496924825529984,0.08693066528875475,0.43007685325059786,False
181,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.1,50,0.6125,0.18769583423659095,0.834209506638014,0.09205556357361408,0.4552893493393214,False
182,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.1,50,0.79928,0.1731393995324202,0.7479357555345579,0.08619008939727965,0.42602479387652537,False
183,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.1,50,0.68028,0.19575856021138394,0.939420157517659,0.09873393964648858,0.48875875579465233,False
