,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE,KL,MAE,TV
330,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,10,,,,,
331,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,10,,,,,
332,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,10,,,,,
333,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,10,,,,,
334,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,10,,,,,
335,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,10,,,,,
336,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,10,,,,,
337,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,10,,,,,
338,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,10,,,,,
339,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,10,,,,,
340,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,100,0.2917,0.2721504920392594,,0.1536921060742612,0.7588128710636094
341,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,100,0.1018,0.271963094628709,,0.1545619697936821,0.7634737258553312
342,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,100,0.2973,0.26923254694495063,,0.15345226380309077,0.7582322747159266
343,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,100,0.1641,0.2716007539903314,,0.15360439841001333,0.7580742333541218
344,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,100,0.2923,0.2688135273634443,,0.1546014357527528,0.7639091318157378
345,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,100,0.2002,0.26734654262037716,,0.15317184039131793,0.757812630187279
346,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,100,0.285,0.2675550808939344,,0.15372875592706264,0.76014249645332
347,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,100,0.1005,0.2674321468530815,,0.15367844136175246,0.7599501942025052
348,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,100,0.3626,0.2698839352989933,,0.15397006502558877,0.7607407427300601
349,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,100,0.2738,0.26650007114510366,,0.15346508890731186,0.7600664271649961
350,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,1000,0.8887,0.11387171007489394,,0.0356059505358453,0.17128501277719138
351,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,1000,0.8834,0.1150851257736484,,0.0334171214288702,0.16106729789367585
352,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,1000,0.8842,0.11436875261038096,,0.034974768886387925,0.16855876188496105
353,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,1000,0.8867,0.1143374224399685,,0.034787708235444186,0.16794239873029393
354,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,1000,0.8841,0.11344956984575423,,0.0345700788560819,0.1667258113667222
355,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,1000,0.8806,0.11421672961691927,,0.03393507417092856,0.16342134255920807
356,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,1000,0.8848,0.1140826749006453,,0.03257428842834142,0.15713398686815727
357,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,1000,0.883,0.1142090645934127,,0.03428729769742519,0.16402914990433748
358,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,1000,0.8842,0.11439529043933641,,0.035617178189055916,0.17105140334452182
359,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,50,1000,0.8871,0.11363370827491134,,0.034803565730415535,0.1670384976840471
360,EMNIST,prob_label_effnetb0,240000,CLIP+UMAP,20,euclidean,5,240,0.9785,0.06766817155028579,inf,0.008851749207331451,0.04419292379337486
361,EMNIST,prob_label_effnetb0,240000,CLIP+UMAP,20,euclidean,5,240,0.97825,0.06820253091760069,inf,0.009519667116357116,0.0475274491775824
362,EMNIST,prob_label_effnetb0,240000,CLIP+UMAP,20,euclidean,5,240,0.9785333333333334,0.06724844572611036,inf,0.008850813700930158,0.044220333265401146
363,EMNIST,prob_label_effnetb0,240000,CLIP+UMAP,20,euclidean,5,240,0.9783583333333333,0.06419958145085451,inf,0.006355042565082856,0.03174730183652683
364,EMNIST,prob_label_effnetb0,240000,CLIP+UMAP,20,euclidean,5,240,0.9785125,0.06636152071065138,inf,0.0076895404855201145,0.038383023357646436
365,EMNIST,prob_label_effnetb0,240000,CLIP+UMAP,20,euclidean,5,240,0.9785458333333333,0.06594292605344307,inf,0.007794751420549776,0.03894547702875364
366,EMNIST,prob_label_effnetb0,240000,CLIP+UMAP,20,euclidean,5,240,0.9785291666666667,0.06705778469852981,inf,0.008528323233937797,0.042588254847531364
367,EMNIST,prob_label_effnetb0,240000,CLIP+UMAP,20,euclidean,5,240,0.9783291666666667,0.06642338676116247,inf,0.008576751433498746,0.04281322784112598
