,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE
165,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,100,0.29152,0.29280825084343914
166,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,100,0.1,0.29321029234301327
167,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,100,0.1015,0.2940441987944763
168,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,100,0.10086,0.2930231028133962
169,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,100,0.19854,0.29423750424724004
170,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,250,0.09902,0.2930548534553342
171,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,250,0.1,0.29270865278392
172,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,250,0.1002,0.29281533003475635
173,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,250,0.1015,0.2932778920848869
174,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,250,0.10086,0.29320239713671864
175,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,500,0.29086,0.29271528247702033
176,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,500,0.2025,0.292664589856964
177,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,500,0.2945,0.2925852087317191
178,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,500,0.19808,0.29227388051999165
179,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,500,0.35718,0.29239890701670684
180,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,1000,0.20088,0.29228207670946016
181,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,1000,0.23602,0.29241701289622096
182,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,1000,0.3536,0.29238521296333386
183,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,1000,0.19454,0.2924586997245011
184,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,1000,0.19938,0.2924378410317232
185,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,5000,0.29054,0.29226628764790846
186,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,5000,0.19798,0.29232810128003633
187,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,5000,0.30412,0.29222307002596176
188,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,5000,0.2937,0.29225183251872155
189,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,5000,0.29484,0.29226243839598565
190,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,10000,0.38894,0.29225089796762693
191,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,10000,0.34448,0.292263109552976
192,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,10000,0.2974,0.29225922167532115
193,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,10000,0.35988,0.2922806613573111
194,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,10000,0.38456,0.2922584090605245
195,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,100000,0.57992,0.2922376545794661
196,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,100000,0.5685,0.29224595481178894
197,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,100000,0.63048,0.2922424676703247
198,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,100000,0.6765,0.2922470642125612
199,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,100000,0.57934,0.29223659347337383
200,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,10,0.38104,0.29394265591074864
201,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,10,0.19498,0.29327212498337346
202,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,10,0.29006,0.2907498087968886
203,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,10,0.38888,0.2849846950789251
204,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,10,0.35516,0.2904422317525771
205,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,25,0.29488,0.28195354379904203
206,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,25,0.29324,0.27726160308710374
207,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,25,0.28394,0.28064118947233174
208,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,25,0.36502,0.2752857788338029
209,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,25,0.2923,0.28636303231182164
210,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.2998,0.27292179895129054
211,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.26898,0.27579217979079085
212,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.4795,0.2732069139322705
213,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.3904,0.2747637838646925
214,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,50,0.3962,0.27227476267699313
215,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,100,0.4804,0.27620501385634866
216,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,100,0.41032,0.2749556472765847
217,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,100,0.40552,0.2750021718273691
218,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,100,0.3683,0.27476153182948476
219,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,100,0.46742,0.27407738544682153
220,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,250,0.5419,0.2741462646426283
221,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,250,0.62332,0.2720374885196046
222,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,250,0.37158,0.2731232934698832
223,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,250,0.61318,0.27293044264769617
224,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,250,0.57152,0.27263301657639627
225,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.5636,0.2735918055809726
226,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.52462,0.27289670789410414
227,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.42518,0.27365827046654584
228,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.5657,0.272582235334095
229,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,500,0.45422,0.27221181963580127
230,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,1000,0.6404,0.2718182064645043
231,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,1000,0.7846,0.2716941476435841
232,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,1000,0.50428,0.27315767156879117
233,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,1000,0.66616,0.2728611770318809
234,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,1000,0.55226,0.27333315841622763
