,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,runtime,config
62,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,4,0.1530646726183186,0.81982,6.2219977378845215,configs/FGMRES.json
63,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,4,0.14785711846095528,0.83458,6.228945970535278,configs/FGMRES.json
64,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,4,0.15266963022615793,0.8214,6.253259897232056,configs/FGMRES.json
65,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,6,0.14352275663361175,0.83902,6.507872581481934,configs/FGMRES.json
66,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,6,0.14418493060924756,0.82986,6.486667156219482,configs/FGMRES.json
67,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,6,0.14830535128181183,0.81796,6.4953672885894775,configs/FGMRES.json
68,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,6,0.14625680690170267,0.82064,6.485995531082153,configs/FGMRES.json
69,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,6,0.14505833303939283,0.82856,6.534470796585083,configs/FGMRES.json
70,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,8,0.13602750064937674,0.84268,6.539199352264404,configs/FGMRES.json
71,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,8,0.1377722910806295,0.84396,6.498897075653076,configs/FGMRES.json
72,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,8,0.13589789749001532,0.84878,6.5209736824035645,configs/FGMRES.json
73,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,8,0.141863096862854,0.83008,6.489749908447266,configs/FGMRES.json
74,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,8,0.13964481268045348,0.83682,6.521569490432739,configs/FGMRES.json
75,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,11,0.13213700374014814,0.8503,6.9086103439331055,configs/FGMRES.json
76,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,11,0.1395199995157981,0.83478,6.888406991958618,configs/FGMRES.json
77,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,11,0.13608603430187227,0.83828,6.936584949493408,configs/FGMRES.json
78,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,11,0.13853652289204887,0.83882,6.92693567276001,configs/FGMRES.json
79,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,11,0.13558178792114245,0.8443,6.925606727600098,configs/FGMRES.json
80,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,16,0.13399881246375436,0.84458,7.386036396026611,configs/FGMRES.json
81,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,16,0.13559798981874693,0.8465,7.365241765975952,configs/FGMRES.json
82,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,16,0.13347953315185762,0.84554,7.326516628265381,configs/FGMRES.json
83,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,16,0.13213841825388445,0.85058,7.335415601730347,configs/FGMRES.json
84,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,16,0.1336877851846182,0.8501,7.1747660636901855,configs/FGMRES.json
85,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,21,0.12910217644644137,0.8578,7.524688243865967,configs/FGMRES.json
86,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,21,0.12889811985491165,0.85672,7.455521106719971,configs/FGMRES.json
87,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,21,0.12737344026323147,0.8606,7.469945192337036,configs/FGMRES.json
88,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,21,0.12990871574677534,0.84978,7.50127911567688,configs/FGMRES.json
