,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE,KL,MAE,TV,sparse
87,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,5000,0.1988,0.2871665021849599,2.1479989693426185,0.17295421547687034,0.8543657618395691,False
88,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,5000,0.0999,0.28715561535878453,2.1476611379181914,0.17294860769954218,0.8543564532345547,False
89,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,5000,0.0995,0.28717560644841433,2.1482812660967503,0.1729392061064653,0.8543599449004687,False
90,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,10000,0.1004,0.28713725957258174,2.147145346475372,0.17294783998990593,0.8543452419925383,False
91,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,10000,0.1015,0.28715758347442144,2.147710105532598,0.17295393342777943,0.8543625129492557,False
92,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,10000,0.1001,0.287141177543215,2.147255402017581,0.1729576775212866,0.854355262141503,False
93,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,10000,0.1004,0.28713946971447774,2.14721137312407,0.1729400556243777,0.8543428032127078,False
94,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,10000,0.1015,0.2871442783023607,2.147358596246019,0.1729639257545516,0.8543418467359781,False
95,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,100000,0.1004,0.2871344978458382,2.1470676935227444,0.17295110545810813,0.8543479272895363,False
96,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,100000,0.1015,0.2871346805519158,2.1470696697413483,0.1729467208808771,0.8543506990641827,False
97,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,100000,0.1015,0.28713505348072454,2.1470802185604914,0.1729492556159701,0.8543480223914205,False
98,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,100000,0.1004,0.28713433067949434,2.1470615487110614,0.1729520120722368,0.8543506425821695,False
99,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,100000,0.1015,0.28713540419497896,2.147097138557701,0.17295162462662791,0.8543466901420214,False
100,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,10,0.0999,0.3000047002747735,9.664817994143345,0.174906690116215,0.8540028496108769,False
101,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,10,0.2919,0.29707834916618464,9.481719300039584,0.17480226620346426,0.8537233047962852,False
102,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,10,0.1976,0.2935219971854286,7.048594401278594,0.17432883274841576,0.8536720374027733,False
103,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,10,0.0981,0.30397508190490546,12.107445300946164,0.17526069240836645,0.8550347794835917,False
104,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,10,0.1005,0.2999779249946641,9.499930319012368,0.17485449742023015,0.8538674300964725,False
105,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,25,0.0998,0.2921660386880636,4.740213152132644,0.17376348819014037,0.8534290013819226,False
106,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,25,0.1969,0.29253887421466596,2.3089093677900157,0.17336682096368464,0.8539099383443216,False
107,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,25,0.0999,0.29519000497166115,4.915848644519761,0.17425922893404813,0.8539606707516414,False
108,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,25,0.2831,0.2917099136859097,4.77795249167125,0.17303078192273647,0.8535356150991568,False
109,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,25,0.1003,0.2953269271991704,7.259547931441539,0.17431364051106685,0.8539226696859851,False
110,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,50,0.0995,0.289083945939451,2.200853172463865,0.17293269799929387,0.8540171951467453,False
111,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,50,0.1003,0.2915336050617356,4.909808692722835,0.1740309035532855,0.8537214341268352,False
112,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,50,0.1974,0.28870206427090317,2.2064244918590856,0.17283355995597277,0.8537043476487325,False
113,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,50,0.1001,0.2908922693451628,2.298675610841232,0.1732669444633582,0.8539981410232842,False
114,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,50,0.0995,0.28821465994077144,2.182405715034891,0.17287343163340757,0.8537546021705417,False
115,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,100,0.1003,0.29021653664184255,2.239064826021711,0.17291646341733163,0.8536623422816568,False
116,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,100,0.0999,0.2884661358117065,2.1871700348156518,0.17275676426767433,0.8537893185396086,False
117,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,100,0.1941,0.28798873584290036,2.176755851386641,0.1730991606059183,0.853741727958268,False
118,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,100,0.0995,0.2887587796792347,2.1970977548121344,0.17294789637641134,0.8537572409436416,False
119,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,100,0.0998,0.28890364041076577,2.192643569661548,0.17301314132654752,0.8535942161989322,False
120,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,250,0.0999,0.28773694813276063,2.1703987607528292,0.17286398744325987,0.8536262185054758,False
121,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,250,0.0998,0.28756188740177613,2.160260795164924,0.17297472124918567,0.8536835037331381,False
122,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,250,0.1005,0.28724081876621715,2.149710623171449,0.17279782692287432,0.8536940894935969,False
123,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,250,0.1974,0.2873698191205423,2.154003322497238,0.17278597615202662,0.8536941908447505,False
124,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,250,0.1961,0.2874093280012306,2.1564117144388217,0.1728948902678185,0.8536361541398859,False
125,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,500,0.1887,0.28706953003479835,2.145285111611808,0.17285895290870495,0.8536935501045345,False
126,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,500,0.1005,0.28723693183420224,2.1499913765454144,0.17285989959532122,0.8537085971753664,False
127,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,500,0.0999,0.2870642826746767,2.144764351363415,0.17284147339892772,0.853714438653064,False
128,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,500,0.0995,0.28744983922069606,2.156805122163049,0.17282710973728482,0.8537631818867416,False
129,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,500,0.1015,0.28734015746997926,2.1528765154725655,0.1728918879411922,0.8536251473905618,False
130,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,1000,0.2745,0.28705081771866137,2.1447539552208656,0.17279583906711643,0.8537173275353922,False
131,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,1000,0.0999,0.28700439450919635,2.143668606173701,0.17279772191096437,0.8536500125716564,False
132,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,1000,0.1003,0.28703856227170643,2.1444220033627297,0.17282709947709704,0.8536905294544366,False
133,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,1000,0.0999,0.28698585965164336,2.1427628981646243,0.1728406904831475,0.8537057332840524,False
134,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,1000,0.0999,0.2871027601086087,2.1456772182859263,0.1728370821115282,0.8537498047268227,False
135,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,5000,0.0998,0.2869479407587576,2.141825566773124,0.17284000688370246,0.8536865463404342,False
136,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,5000,0.1001,0.28693642036682343,2.1414845170461327,0.17282105769767325,0.8536633933252542,False
137,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,5000,0.1005,0.2869251852246022,2.1409990217146997,0.1728168245907933,0.8537065440684569,False
138,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,5000,0.1004,0.28691892318098744,2.1410152382149863,0.17282015692887862,0.8536803701065424,False
139,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,5000,0.1015,0.28693148505316163,2.1413081152828517,0.17281842118636015,0.8536901866852259,False
140,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,10000,0.1973,0.2869169812710985,2.1408342838093914,0.17281766035162457,0.8536821964891191,False
141,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,10000,0.1897,0.2869147929668458,2.1408885924438406,0.17281525679927742,0.8536793410319844,False
142,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,10000,0.2748,0.2869278373558789,2.141105614531086,0.1728127184638155,0.8536998005200863,False
143,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,10000,0.1004,0.2869537695994575,2.141912042459568,0.17283182194320632,0.8536860101230513,False
144,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,10000,0.1957,0.28691992931112387,2.140878324167444,0.17282696243321746,0.8537003807491473,False
145,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,100000,0.1015,0.28691154442216116,2.14067266409488,0.17280813988935856,0.8536956976520036,False
