,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,KL,MAE,TV,runtime,config
60,CIFAR10-H,10000,CLIP+PCA,15,prob_label,0.99,100,20,0.20312507108666972,0.7355,0.9772974337709426,0.11593570656213978,0.5740288498943382,2.063810348510742,configs/FGMRES.json
61,CIFAR10-H,10000,CLIP+PCA,10,prob_label,0.99,100,20,0.20421538601828176,0.6773,0.979119069465531,0.11411916005723158,0.5656920386780527,1.3669090270996094,configs/FGMRES.json
62,CIFAR10-H,10000,CLIP+PCA,7,prob_label,0.99,100,20,0.19352112446956016,0.7192,0.8585897108419703,0.10514725588640957,0.520482259993885,1.188899040222168,configs/FGMRES.json
63,CIFAR10-H,10000,CLIP+PCA,5,prob_label,0.99,100,20,0.21298698794575938,0.6078,0.9747427217215332,0.1154179116673902,0.5712837364031369,0.9796657562255859,configs/FGMRES.json
64,CIFAR10-H,10000,CLIP+PCA,3,prob_label,0.99,100,20,0.21910755812935095,0.5523,0.9440746109716002,0.11113143061246347,0.5486284050905289,0.8327581882476807,configs/FGMRES.json
65,CIFAR10-H,10000,CLIP+PCA,2,prob_label,0.99,100,20,0.2345903454350033,0.5139,1.1762979271811909,0.11106265290429544,0.5436648273080106,0.6198375225067139,configs/FGMRES.json
66,CIFAR10-H,10000,CLIP+ISOMAP,512,prob_label,0.99,100,20,0.192673150864692,0.8251,0.8739093881703851,0.10852077287263621,0.5353378041326488,68.90887832641602,configs/FGMRES.json
67,CIFAR10-H,10000,CLIP+ISOMAP,256,prob_label,0.99,100,20,0.18620653969889966,0.8533,0.8276123671934511,0.1048303471346917,0.5184413818339457,34.11425542831421,configs/FGMRES.json
68,CIFAR10-H,10000,CLIP+ISOMAP,100,prob_label,0.99,100,20,0.18230230486169946,0.8353,0.810027073478966,0.09946872043512686,0.49125533236424046,9.594456195831299,configs/FGMRES.json
69,CIFAR10-H,10000,CLIP+ISOMAP,50,prob_label,0.99,100,20,0.18278224885319702,0.8084,0.810538956454631,0.10084861529141893,0.49845241054856826,4.503525018692017,configs/FGMRES.json
70,CIFAR10-H,10000,CLIP+ISOMAP,40,prob_label,0.99,100,20,0.17660660417374513,0.818,0.7516357951009006,0.09623143299276445,0.47505424705462584,3.66731595993042,configs/FGMRES.json
71,CIFAR10-H,10000,CLIP+ISOMAP,30,prob_label,0.99,100,20,0.17453021228521065,0.7848,0.7662558558843772,0.09491801503657918,0.46865740845643533,2.764911413192749,configs/FGMRES.json
72,CIFAR10-H,10000,CLIP+ISOMAP,20,prob_label,0.99,100,20,0.17225388892123683,0.8062,0.7226627444037169,0.09283751282438009,0.45732874724589057,1.9815185070037842,configs/FGMRES.json
73,CIFAR10-H,10000,CLIP+ISOMAP,15,prob_label,0.99,100,20,0.16699171540013152,0.817,0.7007160984304177,0.08758435657481585,0.43041925117544777,1.6301844120025635,configs/FGMRES.json
74,CIFAR10-H,10000,CLIP+ISOMAP,10,prob_label,0.99,100,20,0.15896221230755242,0.851,0.6391538311821224,0.08360237608408104,0.4108516064909435,1.2064707279205322,configs/FGMRES.json
75,CIFAR10-H,10000,CLIP+ISOMAP,7,prob_label,0.99,100,20,0.16445199197209254,0.8171,0.6454320388902163,0.08145331564053267,0.3995332403709662,1.0381073951721191,configs/FGMRES.json
76,CIFAR10-H,10000,CLIP+ISOMAP,5,prob_label,0.99,100,20,0.1560151334656656,0.8003,0.605783546960262,0.07350278448497691,0.3604099863523006,0.813931941986084,configs/FGMRES.json
77,CIFAR10-H,10000,CLIP+ISOMAP,3,prob_label,0.99,100,20,0.17394184506651905,0.7407,0.649163409192922,0.07869004632670495,0.386122503114051,0.6889564990997314,configs/FGMRES.json
78,CIFAR10-H,10000,CLIP+ISOMAP,2,prob_label,0.99,100,20,0.20081651115559032,0.6487,0.842926200423811,0.09078456204253678,0.44390998679792426,0.6593983173370361,configs/FGMRES.json
