,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE
117,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,100,0.8839,0.1355771402179157
118,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,100,0.88056,0.12761677796952692
119,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,100,0.89506,0.1254506606498687
120,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,250,0.88254,0.12723855221514857
121,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,250,0.893,0.12462277155293015
122,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,250,0.89002,0.12118672514592502
123,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,250,0.88732,0.12500047834422423
124,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,250,0.88856,0.12501703297672945
125,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,500,0.88934,0.12170637940191845
126,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,500,0.89018,0.12390375018136394
127,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,500,0.89342,0.12151613587126912
128,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,500,0.8974,0.1221053241042083
129,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,500,0.88548,0.12714910315274242
130,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,1000,0.89854,0.11849747654283053
131,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,1000,0.89778,0.11781867913828252
132,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,1000,0.89626,0.1191603239307079
133,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,1000,0.89384,0.12023654266152706
134,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,1000,0.89706,0.11825851981803266
135,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,5000,0.90352,0.11493234046398193
136,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,5000,0.90286,0.1152222418504814
137,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,5000,0.90164,0.11560118870126738
138,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,5000,0.90304,0.11492446125510054
139,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,5000,0.90472,0.11400443574885195
140,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,10000,0.90532,0.11195481215857275
141,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,10000,0.90474,0.11204103288810618
142,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,10000,0.9042,0.11231909924447339
143,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,10000,0.90506,0.11190412338211146
144,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,10000,0.90456,0.11232635154060318
145,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,100000,0.91832,0.09595575097134458
146,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,100000,0.91912,0.09567136616698502
147,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,100000,0.9186,0.09584759960426983
148,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,100000,0.91908,0.09547094415452595
149,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,100000,0.91896,0.09547880296042001
150,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,10,0.10004,0.30612140753295514
151,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,10,0.09652,0.2995893411834956
152,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,10,0.19138,0.29469924419054927
153,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,10,0.10274,0.3120206950920041
